Model Name,Girder Type,Nb,L,S,w_oh,ts_U,ts_O,fc_deck,fc_girder,rail_left,rail_right,b_rail_left,b_rail_right,o_rail_left,o_rail_right,q_rail_left,q_rail_right,G1 - max_axial,G1 - max_shear,G1 - max_lat_shear,G1 - max_torsion,G1 - max_bm,G1 - max_lat_bm,G2 - max_axial,G2 - max_shear,G2 - max_lat_shear,G2 - max_torsion,G2 - max_bm,G2 - max_lat_bm,G3 - max_axial,G3 - max_shear,G3 - max_lat_shear,G3 - max_torsion,G3 - max_bm,G3 - max_lat_bm,G4 - max_axial,G4 - max_shear,G4 - max_lat_shear,G4 - max_torsion,G4 - max_bm,G4 - max_lat_bm,G1-A1-X,G2-A1-X,G3-A1-X,G4-A1-X,G1-A2-X,G2-A2-X,G3-A2-X,G4-A2-X,G1-A1-Y,G2-A1-Y,G3-A1-Y,G4-A1-Y,G1-A2-Y,G2-A2-Y,G3-A2-Y,G4-A2-Y,G1-A1-Z,G2-A1-Z,G3-A1-Z,G4-A1-Z,G1-A2-Z,G2-A2-Z,G3-A2-Z,G4-A2-Z
Tx34-L_70-Nb_4-S_100-O_30-ts_85,Tx34,4,840,120,36,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,32495.45313,26774.16797,11423.93848,781864.75,4960672.5,1041541.875,-224.3419647,5421.063477,3549.019531,405202.125,2006643.125,-977.0605469,-28.71643639,408.9755859,8811.675781,69220.39844,281706.6875,1407.375,22232.83984,783.7276001,5398.831543,30119.21875,1390.09375,10398.21875,0,0,0,0,0,0,0,0,35541.29688,760.9417114,159.710022,-1461.919189,35541.29688,760.9414673,159.710022,-1461.919189,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_100-O_30-ts_100,Tx34,4,840,120,36,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,26995.98438,25922.61523,10332.71387,768365,4725201.5,1034457.313,-257.081604,6051.523926,2817.508301,438488.7188,2117787.5,-382.953125,-56.05185699,913.7438965,7675,117477.3906,402111.3125,1394.875,18312.94922,1084.444214,4575.282227,62965.34375,2958.5625,6502.25,0,0,0,0,0,0,0,0,35495.37891,906.0089111,705.7714844,-2107.132813,35495.37891,906.0087891,705.7714844,-2107.132813,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_100-O_35-ts_85,Tx34,4,840,120,42,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,33681.54688,27707.70898,10104.93262,776735.75,5122660,631448.75,-231.638855,5164.083984,4086.840576,417736.2813,1927901.75,-1204.546875,-28.52714729,295.2532043,8229.201172,64164.10938,229761.3594,1393.375,21791.95703,856.0647583,5601.649414,24200.6875,1213.056152,6656.28125,0,0,0,0,0,0,0,0,36906.37891,-459.3920288,54.34176636,-1501.303223,36906.37891,-459.3920288,54.34164429,-1501.303223,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_100-O_35-ts_100,Tx34,4,840,120,42,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,27689.30078,26807.95508,8968.224609,759978.5,4871792,639834.6875,-265.2477112,5877.115234,3287.763672,452647.375,2057445.125,-507.0742188,-55.93996429,732.9606934,7015.133789,113477.7031,351917.7813,1385.25,17665.29688,1183.137573,4717.171387,57266.5,2735.90625,1994.5,0,0,0,0,0,0,0,0,36866.82031,-299.3855591,605.0249023,-2172.435547,36866.82031,-299.3855591,605.0249023,-2172.435791,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_15-ts_85,Tx34,4,840,132,18,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,32704.88672,24706.58789,17368.98633,832498.5,4659145.5,2472002,-266.9506836,6072.291016,2678.054443,353599.6563,2175325,-1346.625,-21.76259232,542.8012695,12287.64258,57411.30859,324105.0938,605.734375,24853.92969,517.3623657,5369.055176,26718.28125,1203.0625,21469.75,0,0,0,0,0,0,0,0,31778.93359,4267.909668,11.80206299,-1058.614868,31778.92969,4267.910156,11.80206299,-1058.614868,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_15-ts_100,Tx34,4,840,132,18,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,28559.44922,24010.125,16388.39844,833955.625,4464797,2437903.75,-172.0057068,6534.008789,2942.471924,382890.125,2249078,-1646.539063,-19.1328373,994.1536865,11282.69043,100361.9141,438713.8125,380.4609375,21626.2832,761.8121338,4650.036133,55302.78125,2861.03125,18979.625,0,0,0,0,0,0,0,0,31680.71094,4427.532715,453.723114,-1561.939453,31680.71094,4427.532715,453.723114,-1561.939453,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_20-ts_85,Tx34,4,840,132,24,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,33291.68359,25618.87305,16356.91113,841634.75,4825161.5,2180786.5,-268.1888733,5600.842285,2964.639404,361384.75,2083811,-1429.167969,-22.36819649,369.7156677,11763.55371,51890.94922,276224.0313,659.0136719,24739.07227,562.3667603,5573.717285,22722.09375,1032.890625,19706.9375,0,0,0,0,0,0,0,0,33063.64844,3074.661621,-59.7454834,-1078.537354,33063.64844,3074.661621,-59.7454834,-1078.537231,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_20-ts_100,Tx34,4,840,132,24,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,28656.62695,24876.86328,15280.16992,836875.375,4615437.5,2145481.25,-173.9016724,6145.791992,2367.702393,393505.1875,2177006,-1760.359375,-20.63108253,843.4840698,10650.60449,94880.85156,391159.9688,432.125,21305.64063,827.9517212,4802.217285,51895.59375,2632.65625,17011.0625,0,0,0,0,0,0,0,0,32986.14063,3223.273926,394.6793213,-1604.06958,32986.14063,3223.273926,394.6793213,-1604.069336,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_25-ts_85,Tx34,4,840,132,30,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,34146.01563,26530.37695,15207.83496,842985,4992183.5,1845339.75,-271.7760315,5189.579102,3296.700439,369807.7813,1991718.25,-1579.8125,-22.79635811,228.5299377,11213.58691,48396.80859,227405.0781,698.7832031,24558.41406,607.7355957,5793.34375,20166.30469,869.484375,17568.75,0,0,0,0,0,0,0,0,34340.21875,1904.202637,-148.350769,-1096.044922,34340.21875,1904.202637,-148.350769,-1096.044922,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_25-ts_100,Tx34,4,840,132,30,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,29033.93164,25746.4043,14054.86133,833708.75,4767792,1814611,-177.8795929,5778.766113,2652.45752,404817,2104544,-1940.158203,-21.84158325,679.0643311,10005.00391,89636.04688,342385.875,466.625,20933.85156,896.2584839,4969.619629,47301.1875,2409.37793,14461.90625,0,0,0,0,0,0,0,0,34274.91406,2060.415527,306.9041443,-1642.204468,34274.91406,2060.415527,306.9041443,-1642.204468,0,0,0,0,0,0,0,0
